,Unnamed: 0,id,screen_name,description,created_at,location,is_verified,latest_following_count,latest_followers_count,latest_status_count,array_agg,num_tweets
501,501,815310506596691968,RepJoshG,"Honored to serve the people of New Jersey's 5th District. Working across the aisle to solve problems, lower taxes, and fight for Jersey values.",2016-12-31 21:35:47,,t,23,1624,285,"{congressperson,democrat}",310.0
502,502,66602794,PatMcCroryNC,74th Governor of North Carolina.,2009-08-18 05:08:47,North Carolina,t,724,47516,5676,"{governor,republican}",3342.0
503,503,816181091673448448,RepMcEachin,"Father, husband & Progressive Democrat in Congress. Proudly representing VA’s 4th Congressional District. Member of @HASCDemocrats & @NRDems.",2017-01-03 07:15:10,,t,791,2302,381,"{congressperson,democrat}",409.0
504,504,1055730738,RepLowenthal,Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J,2013-01-02 18:11:33,"Long Beach, CA",t,3300,16060,2540,"{congressperson,democrat,democrat}",2547.0
505,505,234022257,RepSeanDuffy,"I am a devoted husband of one, proud father of eight, and the Representative for Wisconsin's Seventh District. Also at https://t.co/Y7pV5IPxzR.",2011-01-04 17:28:01,,t,2577,23968,3526,"{congressperson,republican,republican}",3535.0
506,506,281540744,RepWebster,A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.,2011-04-13 13:47:05,Central Florida,t,298,13104,2902,"{congressperson,republican,republican}",2898.0
507,507,818948638890217473,Rep_Matt_Gaetz,"Official Twitter for Congressman Matt Gaetz.
Proud conservative, and Northwest Florida native who is honored to serve the First District of Florida.",2017-01-10 22:32:25,,f,160,815,101,"{congressperson,republican}",120.0
508,508,18566912,RepHensarling,"Fighting to control spending & tax increases while advancing the principles of family, free enterprise, and freedom.",2009-01-02 23:08:57,"Washington, D.C.",t,767,19216,792,"{congressperson,republican,republican}",794.0
509,509,242873057,RepTipton,"Proud to Represent the people of #Colorado's 3rd Congressional District. Member of @FinancialCmte, @NatResources & Vice Chairman of @westerncaucus",2011-01-25 20:01:25,"Cortez, CO",t,1281,13402,2171,"{congressperson,republican,republican}",2178.0
511,511,1849261916,RepBlainePress,"Congressman from Missouri's 3rd Congressional District, Member of the House Financial Services and Small Business Committees",2013-09-09 19:53:08,Missouri's 3rd District,f,248,5077,1393,"{congressperson,republican,republican}",1399.0
512,512,303861808,RepThompson,Rep. Mike Thompson represents California's 5th Congressional District and chairs the House Gun Violence Prevention Task Force.,2011-05-23 14:58:06,"St. Helena, CA",t,523,14253,2492,"{congressperson,democrat,democrat}",2511.0
513,513,22509548,DarrellIssa,"I work for CA-49, Chair the Subcommittee on Courts, Intellectual Property, and the Internet, & serve on the House Committee on Foreign Affairs.",2009-03-02 17:39:00,"Vista, CA & Washington, DC",t,34696,258213,20476,"{congressperson,republican,republican}",3500.0
514,514,117777832,RepTimMurphy,"U.S. Congressman representing Pennsylvania's 18th District covering Pittsburgh's South Hills and communities in Greene, Washington & Westmoreland Counties.",2010-02-26 15:45:58,Southwestern Pennsylvania,t,671,19054,3990,"{congressperson,republican,republican}",3794.0
515,515,27676828,PatrickMcHenry,I represent the citizens of North Carolina’s 10th District in the United States Congress.,2009-03-30 16:42:39,"Denver, CO",t,3849,20168,3969,"{congressperson,republican,republican}",3430.0
516,516,219429281,RepKinzinger,"I represent Illinois' 16th District. It's an honor to serve in Congress on Energy & Commerce & Foreign Affairs, and as a pilot in the Air National Guard.",2010-11-24 21:04:11,"Channahon, IL",t,996,27150,5695,"{congressperson,republican,republican}",4071.0
517,517,467823431,RepJeffries,Member of Congress. Policy & Communications Co-Chair. Represent Brooklyn & Queens in the 8th district,2012-01-18 21:54:44,,t,719,23815,2075,"{congressperson,democrat,democrat}",2087.0
518,518,240778059,GinaRaimondo,Governor of Rhode Island dedicated to moving Rhode Island forward. Smithfield native and proud mother of two. (401) 222-2080,2011-01-20 18:34:27,"Providence, RI ",t,8378,39429,6574,"{governor,democrat}",4138.0
520,520,816284664658874368,RepArrington,The official Twitter account for Congressman Jodey Arrington. Building a better West Texas. Fighting for the future of America.,2017-01-03 14:06:44,West Texas,t,733,1298,167,"{congressperson,republican}",183.0
